"Time_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
         53,        0.04453219,      -6.501482752,      -3.760436603,      -4.126940251,      -1.461035387,          6383.475,     0.03157955254,       1.169537765,                 0,                 0,                 0,     0.01204674265,     -0.1719883134,        1.15725359,                 0,       37.03465284
         54,        0.04537242,       -6.48532546,      -3.715570188,      -4.081399112,      -1.406726291,          6383.475,     0.03014088262,       1.167163084,                 0,                 0,                 0,     0.01206867313,     -0.1729927677,       1.154665164,                 0,       38.72358678
         55,        0.04621265,      -6.471913035,      -3.678044002,      -4.042739002,      -1.370112811,          6383.475,     0.02873047714,       1.164503212,                 0,                 0,                 0,     0.01210719994,     -0.1739198641,       1.151800787,                 0,       40.53198306
         56,        0.04705288,      -6.463170624,      -3.644160424,      -4.009097229,      -1.335233296,          6383.475,     0.02735294353,       1.161595906,                 0,                 0,                 0,     0.01216780343,     -0.1747716215,       1.148698443,                 0,       42.46694346
         57,        0.04789311,      -6.455817601,       -3.61330488,      -3.978371408,       -1.30415257,          6383.475,     0.02601172137,       1.158482386,                 0,                 0,                 0,     0.01225523891,     -0.1755518103,       1.145399324,                 0,       44.53693662
         58,        0.04873334,      -6.449739599,      -3.585666659,      -3.950727693,       -1.27674727,          6383.475,     0.02470898496,       1.155200395,                 0,                 0,                 0,     0.01237228445,     -0.1762648435,       1.141940975,                 0,          46.75224
         59,        0.04957357,      -6.444815528,      -3.561170522,      -3.926144627,      -1.252767244,          6383.475,     0.02344549648,       1.151777675,                 0,                 0,                 0,     0.01251865065,     -0.1769147877,       1.138350852,                 0,       49.12575325
         60,         0.0504138,      -6.440954551,      -3.539580589,      -3.904441114,      -1.231889029,          6383.475,     0.02222099219,       1.148228925,                 0,                 0,                 0,     0.01269100223,      -0.177504455,       1.134643383,                 0,       51.67316182
         61,        0.05125403,      -6.435990833,      -3.516830672,      -3.880859176,       -1.20742534,          6383.475,     0.02103455348,       1.144556669,                 0,                 0,                 0,     0.01288364925,     -0.1780351884,       1.130820893,                 0,       54.41316688
         62,        0.05209426,      -6.431667406,      -3.496210569,      -3.858111705,      -1.187303765,          6383.475,      0.0198861227,       1.140757224,                 0,                 0,                 0,     0.01309081222,     -0.1785064053,       1.126879747,                 0,       57.36448684
         63,        0.05293449,      -6.430445622,      -3.480823418,      -3.842573306,       -1.17302314,          6383.475,     0.01877726312,       1.136828165,                 0,                 0,                 0,     0.01330888426,     -0.1789161449,       1.122817829,                 0,       60.54280425
         64,        0.05377472,      -6.430189755,      -3.467324247,      -3.828833853,      -1.160687661,          6383.475,     0.01771029863,       1.132773582,                 0,                 0,                 0,     0.01353655482,     -0.1792628288,       1.118639567,                 0,       63.96129198
         65,        0.05461495,      -6.430968468,      -3.455642888,      -3.816649499,       -1.15015198,          6383.475,      0.0166885069,        1.12860823,                 0,                 0,                 0,      0.0137753198,     -0.1795457915,       1.114360064,                 0,       67.62787331
         66,        0.05545518,      -6.432804798,      -3.445655059,      -3.805893744,      -1.141271303,          6383.475,     0.01571553499,       1.124358033,                 0,                 0,                 0,      0.0140288608,     -0.1797659428,       1.110005482,                 0,       71.54436892
         67,        0.05629541,      -6.435727409,      -3.437333602,      -3.796583257,      -1.134019298,          6383.475,     0.01479467733,       1.120057483,                 0,                 0,                 0,     0.01430185043,     -0.1799260278,       1.105610362,                 0,        75.7067868
         68,        0.05713564,      -6.439770856,      -3.430716675,      -3.788817375,      -1.128439064,          6383.475,     0.01392829904,       1.115744972,                 0,                 0,                 0,     0.01459857242,     -0.1800303842,       1.101212923,                 0,       80.10633379
         69,        0.05797587,      -6.444968285,      -3.425863333,      -3.782719253,      -1.124597654,          6383.475,     0.01311754519,       1.111457625,                 0,                 0,                 0,     0.01492179707,     -0.1800843309,       1.096849924,                 0,       84.73061145
         70,         0.0588161,       -6.45135012,      -3.422818958,      -3.778401043,      -1.122549573,          6383.475,     0.01236236983,       1.107226967,                 0,                 0,                 0,     0.01527213475,     -0.1800933874,       1.092552404,                 0,       89.56429728
         71,        0.05965633,      -6.450444276,      -3.414384355,       -3.76404992,      -1.116275164,          6383.475,     0.01166124777,       1.103076223,                 0,                 0,                 0,     0.01564761484,     -0.1800630887,       1.088342971,                 0,       94.59332699
         72,        0.06049656,      -6.459190141,      -3.414561257,       -3.76307332,       -1.11741226,          6383.475,     0.01101355412,       1.099020685,                 0,                 0,                 0,     0.01604533635,     -0.1799967057,       1.084236575,                 0,       99.78801331
         73,        0.06133679,      -6.469155961,      -3.416451991,      -3.764119995,      -1.120382562,          6383.475,     0.01041757356,       1.095068847,                 0,                 0,                 0,     0.01646109246,     -0.1798974025,       1.080241283,                 0,       105.1174576
         74,        0.06217702,      -6.480537383,      -3.420135556,      -3.767046504,      -1.125210793,          6383.475,    0.009871881776,       1.091225301,                 0,                 0,                 0,      0.0168906771,     -0.1797673793,       1.076361371,                 0,       110.5387327
         75,        0.06301725,      -6.493379809,      -3.425455033,      -3.771619371,      -1.131697624,          6383.475,    0.009375430979,       1.087494207,                 0,                 0,                 0,     0.01733066807,     -0.1796083902,       1.072600753,                 0,       115.9940497
         76,        0.06385748,      -6.507704496,      -3.432281827,      -3.777644648,      -1.139678489,          6383.475,     0.00892758023,       1.083882445,                 0,                 0,                 0,     0.01777903222,     -0.1794222611,       1.068966093,                 0,       121.4083119
         77,        0.06469771,      -6.523565919,      -3.440564014,      -3.785110154,      -1.149092713,          6383.475,    0.008528047387,       1.080401723,                 0,                 0,                 0,      0.0182353549,     -0.1792113032,       1.065468873,                 0,       126.6880535
         78,        0.06553794,      -6.538974583,      -3.446614372,      -3.789388157,      -1.154334849,          6383.475,    0.008176419975,       1.077069206,                 0,                 0,                 0,     0.01870050653,      -0.178978903,       1.062125925,                 0,       131.7287039
         79,        0.06637817,      -6.558033602,      -3.457588754,      -3.799347263,         -1.166276,          6383.475,    0.007873101264,       1.073906936,                 0,                 0,                 0,     0.01917643032,     -0.1787284913,       1.058959026,                 0,       136.4020225
         80,         0.0672184,      -6.578837105,      -3.470161063,      -3.811024706,      -1.179850217,          6383.475,    0.007618192058,       1.070939584,                 0,                 0,                 0,     0.01966526434,     -0.1784642525,        1.05599249,                 0,       140.5766061
         81,        0.06805863,      -6.601724848,      -3.484670992,       -3.82458315,      -1.195345181,          6383.475,    0.007411530418,       1.068192076,                 0,                 0,                 0,     0.02016851093,     -0.1781906748,       1.053250837,                 0,        144.125709
         82,        0.06889886,      -6.626876748,      -3.501248294,      -3.840145314,      -1.212860982,          6383.475,    0.007252782942,       1.065687029,                 0,                 0,                 0,     0.02068657444,     -0.1779120136,       1.050756281,                 0,       146.9349127
