"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
136, 2.320866025105017e-01, 9.810460333815398e-02, 1.174234233475649e+00, 1.668442911087401e+02, 9.961843048169083e+00, 2.505895786496502e+05
137, 2.254885910009342e-01, 9.768782855284069e-02, 1.173565910215769e+00, 1.671315395545028e+02, 1.114381126884033e+01, 2.504655385685275e+05
138, 2.189583110739347e-01, 9.722924969490139e-02, 1.172859745530692e+00, 1.674291807655686e+02, 1.235989316201137e+01, 2.503345489668473e+05
139, 2.124973739783607e-01, 9.672879588177757e-02, 1.172387810351213e+00, 1.677437787941480e+02, 1.361199865281471e+01, 2.502533940617802e+05
140, 2.061073738537634e-01, 9.618642747290375e-02, 1.171754368043811e+00, 1.680485102644269e+02, 1.489936510462258e+01, 2.501388627642584e+05
141, 1.997898873370579e-01, 9.560213618849629e-02, 1.171337569087040e+00, 1.682376694439252e+02, 1.621290770416220e+01, 2.500650985967878e+05
142, 1.935464731735118e-01, 9.497594515890587e-02, 1.170715178545154e+00, 1.684385713021071e+02, 1.756458058181623e+01, 2.499497548773302e+05
143, 1.873786718321474e-01, 9.430790890332584e-02, 1.170276048071072e+00, 1.685900850959207e+02, 1.894925206621417e+01, 2.498710310995703e+05
144, 1.812880051256551e-01, 9.359811323686659e-02, 1.169654870577705e+00, 1.687357768473235e+02, 2.037252031556486e+01, 2.497549694226780e+05
145, 1.752759758349082e-01, 9.284667510523228e-02, 1.169297443361511e+00, 1.688010856321366e+02, 2.182625927539203e+01, 2.496909932418954e+05
146, 1.693440673381740e-01, 9.205374234646335e-02, 1.168777259210040e+00, 1.689445094705846e+02, 2.333203120782370e+01, 2.495972955258301e+05
147, 1.634937432451133e-01, 9.121949337944318e-02, 1.168319888643863e+00, 1.690203862338670e+02, 2.487240751699229e+01, 2.495146201428235e+05
148, 1.577264470356557e-01, 9.034413681910339e-02, 1.167931209677834e+00, 1.690610151042186e+02, 2.645266274587174e+01, 2.494455869858511e+05
149, 1.520436017038428e-01, 8.942791101850087e-02, 1.167485551958290e+00, 1.690465658391301e+02, 2.807072541200089e+01, 2.493633350822371e+05
150, 1.464466094067262e-01, 8.847108353818080e-02, 1.167158471950291e+00, 1.689531606663554e+02, 2.972316660324902e+01, 2.493033124838494e+05
151, 1.409368511184055e-01, 8.747395054348100e-02, 1.166750780883961e+00, 1.688314261974257e+02, 3.141956881026833e+01, 2.492264122137552e+05
152, 1.355156862892942e-01, 8.643683613067311e-02, 1.166629914517439e+00, 1.686787698443506e+02, 3.316126401875466e+01, 2.492088068700562e+05
153, 1.301844525106952e-01, 8.536009158307815e-02, 1.166274828421331e+00, 1.684904511524434e+02, 3.494922801236133e+01, 2.491422979493135e+05
154, 1.249444651847702e-01, 8.424409455852998e-02, 1.166029996747723e+00, 1.683094284488659e+02, 3.679487176779016e+01, 2.491002728125077e+05
155, 1.197970171999845e-01, 8.308924820979713e-02, 1.165754496653986e+00, 1.680047105727508e+02, 3.867178890201181e+01, 2.490479354265970e+05
156, 1.147433786121054e-01, 8.189598023980417e-02, 1.165573293918681e+00, 1.675707595444828e+02, 4.057804659074112e+01, 2.490110239062999e+05
157, 1.097847963308351e-01, 8.066474189372169e-02, 1.165354901268043e+00, 1.671701833648173e+02, 4.255431274989778e+01, 2.489694349383684e+05
158, 1.049224938121548e-01, 7.939600689021580e-02, 1.165225280029840e+00, 1.666844475658722e+02, 4.457450700082994e+01, 2.489442522102645e+05
159, 1.001576707564547e-01, 7.809027029436318e-02, 1.165209971308908e+00, 1.662157279437715e+02, 4.666874616483638e+01, 2.489453745700991e+05
160, 9.549150281252627e-02, 7.674804733494768e-02, 1.165023076445863e+00, 1.655592124706936e+02, 4.878261940530337e+01, 2.489046499710466e+05
161, 9.092514128748824e-02, 7.536987216905446e-02, 1.165411030721781e+00, 1.649070990623173e+02, 5.097323100368811e+01, 2.489854740845589e+05
162, 8.645971286271908e-02, 7.395629659707102e-02, 1.165321333128963e+00, 1.642024917801348e+02, 5.322848432201009e+01, 2.489672539347557e+05
163, 8.209631931586486e-02, 7.250788873138740e-02, 1.165563042231297e+00, 1.631713754033368e+02, 5.545963516703245e+01, 2.490057280734619e+05
164, 7.783603724899246e-02, 7.102523162226182e-02, 1.165868588707578e+00, 1.621901155153827e+02, 5.779225078840481e+01, 2.490623448796363e+05
165, 7.367991782295386e-02, 6.950892184448032e-02, 1.165926726959368e+00, 1.610095210189285e+02, 6.014353250390607e+01, 2.490616271534664e+05
166, 6.962898649802818e-02, 6.795956804859131e-02, 1.166588581728881e+00, 1.598669931278151e+02, 6.260443470508530e+01, 2.491909990247352e+05
167, 6.568424278090440e-02, 6.637778948063525e-02, 1.166978597716849e+00, 1.585412837346393e+02, 6.509563127892299e+01, 2.492591658028965e+05
168, 6.184665997806821e-02, 6.476421447441789e-02, 1.167232782514285e+00, 1.570991927820868e+02, 6.764557251353584e+01, 2.492976089626209e+05
169, 5.811718495565327e-02, 6.311947892048991e-02, 1.168184909337344e+00, 1.553742335382381e+02, 7.018317459464055e+01, 2.494719818510450e+05
170, 5.449673790581605e-02, 6.144422471609706e-02, 1.169058886189775e+00, 1.536505206130005e+02, 7.283680213792474e+01, 2.496345930643728e+05
171, 5.098621211969218e-02, 5.973909820045304e-02, 1.169595000994794e+00, 1.515760296386690e+02, 7.544460331893329e+01, 2.497157242871625e+05
172, 4.758647376699021e-02, 5.800474857976087e-02, 1.170882814556823e+00, 1.494572318808506e+02, 7.815554120457683e+01, 2.499559578379672e+05
173, 4.429836168227735e-02, 5.624182634646770e-02, 1.172351532595379e+00, 1.471811307713496e+02, 8.091966209624202e+01, 2.502320993719926e+05
174, 4.112268715800943e-02, 5.445098169728232e-02, 1.173246096554552e+00, 1.445380152531378e+02, 8.362002366496584e+01, 2.503780118335994e+05
175, 3.806023374435663e-02, 5.263286295451525e-02, 1.174961730349671e+00, 1.418260961983202e+02, 8.642424323821602e+01, 2.506977710723520e+05
176, 3.511175705587427e-02, 5.078811499531476e-02, 1.176646265228693e+00, 1.386471806773788e+02, 8.909016926018288e+01, 2.509961446591163e+05
